date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,yr_built
2014-10-13,231300.0,2,1.0,1180,5650,1.0,0,3,7,1955
2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,3,7,1951
2015-02-25,180000.0,2,1.0,770,10000,1.0,0,3,6,1933
2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,5,7,1965
2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,3,8,1987
2014-05-12,1225000.0,4,4.5,5420,101930,1.0,0,3,11,2001
2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,3,7,1995
2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,3,7,1963
2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,3,7,1960
2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,3,7,2003
2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,3,8,1965
2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,4,7,1942
2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,4,7,1927
2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,4,7,1977
2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,3,7,1900
2015-01-24,650000.0,4,3.0,2950,5000,2.0,3,3,9,1979
2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,3,7,1994
2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,4,7,1916
2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,4,7,1921
2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,4,7,1969
2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,4,7,1947
2014-08-26,2000000.0,3,2.75,3050,44867,1.0,4,3,9,1968
2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,3,8,1995
2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,3,7,1985
2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,4,8,1985
2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,5,6,1941
2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,3,8,1915
2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,5,8,1909
2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,3,7,1948
2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,3,8,2005
2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,3,8,2003
2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,3,7,2005
2014-06-24,687500.0,4,1.75,2330,5000,1.5,0,4,7,1929
2014-11-10,535000.0,3,1.0,1090,3000,1.5,0,4,8,1929
2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,3,7,1981
2014-06-13,696000.0,3,2.5,2300,3060,1.5,0,3,8,1930
2014-05-28,550000.0,4,1.0,1660,34848,1.0,0,1,5,1933
2014-12-30,640000.0,4,2.0,2360,6000,2.0,0,4,8,1904
2015-02-13,240000.0,4,1.0,1220,8075,1.0,0,2,7,1969
2014-06-20,605000.0,4,2.5,2620,7553,2.0,0,3,8,1996
2014-07-15,625000.0,4,2.5,2570,5520,2.0,0,3,9,2000
2014-08-11,775000.0,4,2.25,4220,24186,1.0,0,3,8,1984
2014-07-07,861990.0,5,2.75,3595,5639,2.0,0,3,9,2014
2014-10-28,685000.0,3,1.0,1570,2280,2.0,0,3,7,1922
2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,4,6,1959
2014-07-18,488000.0,3,2.5,3160,13603,2.0,0,3,8,2003
2015-03-25,210490.0,3,1.0,990,8528,1.0,0,3,6,1966
2014-07-16,785000.0,4,2.5,2290,13416,2.0,0,4,9,1981
2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,4,7,1953
2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,3,7,1955
2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,4,8,1966
2014-12-31,600000.0,3,1.75,1410,4080,1.0,0,4,7,1950
2015-02-05,585000.0,2,1.75,1980,8550,1.0,0,3,7,1981
2015-03-03,920000.0,5,2.25,2730,6000,1.5,0,3,8,1927
2014-05-12,885000.0,4,2.5,2830,5000,2.0,0,3,9,1995
2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,3,7,2008
2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,3,8,2003
2014-08-27,951000.0,5,3.25,3250,14342,2.0,4,4,8,1968
2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,3,8,1991
2014-12-10,650000.0,3,2.25,2150,21235,1.0,3,4,8,1959
2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,3,7,1954
2014-10-21,505000.0,3,1.75,2519,8690,2.0,0,5,8,1973
2014-12-07,549000.0,3,1.75,1540,1044,3.0,0,3,8,2014
2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,3,7,1979
2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,5,7,1925
2014-09-09,975000.0,4,2.5,2720,11049,2.0,0,3,10,1989
2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,3,7,2005
2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,4,7,1968
2014-06-12,1325000.0,5,2.25,3200,20158,1.0,0,3,8,1965
2014-09-12,1040000.0,5,3.25,4770,50094,1.0,0,4,11,1973
2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,4,7,1972
2014-06-10,571000.0,4,2.0,2750,7807,1.5,0,5,7,1916
2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,3,8,2005
2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,5,7,1965
2014-11-05,832500.0,4,4.0,3430,35102,2.0,0,4,10,1986
2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,3,7,1956
2015-04-20,480000.0,3,1.0,1040,5060,1.0,0,3,7,1941
2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,4,7,1956
2015-03-23,720000.0,4,2.5,3450,39683,2.0,0,3,10,2002
2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,3,8,2003
2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,3,7,1992
2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,3,7,1948
2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,3,8,1964
2014-06-02,315000.0,3,1.0,960,6634,1.0,0,3,6,1952
2014-11-14,940000.0,3,1.5,2140,3600,2.0,0,3,9,1925
2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,5,7,1961
2014-06-18,461000.0,3,3.25,2770,6278,2.0,0,3,9,2006
2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,4,7,1979
2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,3,7,2006
2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,3,7,1988
2015-03-11,1099880.0,5,2.75,3520,6353,2.0,0,4,10,2001
2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,3,7,1962
2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,3,8,1939
2014-12-23,700000.0,3,1.5,1580,5000,1.0,0,3,8,1939
2014-09-08,905000.0,4,2.5,3300,10250,1.0,0,3,7,1946
2015-03-30,247500.0,3,1.75,1960,15681,1.0,0,3,7,1967
2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,4,7,1975
2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,5,7,1980
2014-05-16,437500.0,3,2.5,2320,36847,2.0,2,3,9,1992
2014-06-11,850830.0,3,2.5,2070,13241,1.5,0,5,9,1910
